Review Number,Source,Location,Review
64,google reviews,"Chem. de la Côte-des-Neiges, Montreal","I had the best customer service experience in this branch. I never had to wait too long. I book my appointments in advance and no matter how many questions I had they would all get answered and my problems resolved. Ask for Elham as a financial Advisor, she is very polite and professional and is patient with helping out all her clients."
65,google reviews,"Chem. de la Côte-des-Neiges, Montreal",Terrible advisor and worst managing. Ms. Masoomeh Almasi was my advisor and even she was not responding to any of my calls and message. Complain to the manager did not work and I decided to close my accounts and find other bank with better costumer service. Suggest you do not waste your time and money for this bank and make more research about other branches
66,google reviews,"Chem. de la Côte-des-Neiges, Montreal",Cannot believe a bank can open at 10 and then close at 4. Even stock market is open longer than that. All the reviews are spot on- no one knows a thing at this branch. Moving my scotia accounts to TD
67,google reviews,"Chem. de la Côte-des-Neiges, Montreal","Don’t apply for a credit card here as well as open an account. At least don’t do it with the Ms. Masoumeh(MASI) Almasi who leaves me a very very bad experience. I applied a credit card that has some limits with her. She told me to help me apply, but I have to open an account(a debit card) with her, otherwise she can’t do it, and I followed her without any offers or rewards. A few days later, she told me that my application wasn’t successful. Then I called the customer service if someone apply for credit card must open a debit card, they said no. To my surprise, she opened a saving account for me but not told and noticed me clearly when I applied. I cancelled the debit card very early, but I haven’t known I actually have a saving one. Until today, I want to apply for a debit card in order to get an offer, the representative tells me that I am not eligible because I have one account already. I hate Masoumeh(MASI) Almasi, she is a liar."
68,google reviews,"Chem. de la Côte-des-Neiges, Montreal","We used the envelope-free ATM here for a deposit. The machine malfunctioned, kept our 300$ and then never deposited it in our account. It gave us an error ticket. I contacted the bank, was told to wait a week to see if it would fix itself, and if not, ask them to start an investigation. I did all of that and now, two months later, I'm told they found no errors. So I'm simply out 300$ because of a malfunction that was in no way my fault! Do not use the envelope-free deposits!!"
69,google reviews,"Chem. de la Côte-des-Neiges, Montreal",Terrible customer service. I’m already thinking about closing my account after opening it but I don’t want to dommage my credit score so I’ll switch to another agence where they are more professional and are actually working.
70,google reviews,"Chem. de la Côte-des-Neiges, Montreal",I had a great experience with Mirra as my teller! She was incredibly friendly and efficient.
71,google reviews,"Chem. de la Côte-des-Neiges, Montreal","I went to use the ATM machine, it debited my account but did not give me money, I had to wait 30 minutes for the bank to open, to then they tell me basically too bad so sad, I could hear the branch manager SCREAMING at the poor teller trying to help me. Do not go there if you want to be treated like a human being."
72,google reviews,"Chem. de la Côte-des-Neiges, Montreal","Met with Eliza to open an account. She was absolutely great and very informative. Guy at the cash was nice as well, even cracked a joke. Overall great experience"
73,google reviews,"Chem. de la Côte-des-Neiges, Montreal",I have my worst experience with Ms. Masoomeh Almasi. I am disappointed with this bank and wished I was opening account in another bank. I believed she doesn’t have enough experience and knowledge about the banking.
74,google reviews,"Chem. de la Côte-des-Neiges, Montreal","Very good service and nice employee in the bank, I had question regarding investment because I am not good in math but Mrs. Masi explained whole thing in very simple and easy way, I think she is very productive and patience for her position, in other hand other employee very friendly and willing to help there might be some waiting but they make up for it with wonderful service."
75,google reviews,"Chem. de la Côte-des-Neiges, Montreal","When you call this branch, the automatic phone machines says dial 4 digit. If u dont know it ur stuck!!! I press 0 to go reception bit it says SORRY THIS NUMBER DO NOT ANSWER !!! I call in business hour and its a SHAME for bank that nobody answers the phone. Time to change the bank. What a shame."
76,google reviews,"Chem. de la Côte-des-Neiges, Montreal","Very slow stuff, they don't care about the customers, I was on the line waiting for almost 45 min, not even one employee came to ask me, I will never go again there, zero service"
77,google reviews,"Chem. de la Côte-des-Neiges, Montreal","This branch has serious problems on disrespecting customers. They didn’t follow what your request, but tries anyway to force you follow their decision, and of course, it is the decision benefit themselves."
78,google reviews,"Chem. de la Côte-des-Neiges, Montreal","Been there 10 times so far, and the customer service has always been positive, especially the financial advisors. Just 2 mins walking distance to a nearby subway and bus station."
79,google reviews,"Chem. de la Côte-des-Neiges, Montreal",This bank is very good and their employees are well behaved.and they start work quickly.
80,google reviews,"Chem. de la Côte-des-Neiges, Montreal",The hours could use an update. Bank closes at 4pm or 6pm. Meanwhile there's a 24 hour grocery a 24 hour market and near Hospital close by
81,google reviews,"Chem. de la Côte-des-Neiges, Montreal",Well located but too slow.
82,google reviews,"Chem. de la Côte-des-Neiges, Montreal","Worse service I've ever gotten at a bank; service is very slow, not friendly and generally not helpful."
83,google reviews,"Chem. de la Côte-des-Neiges, Montreal","In my experience, really professional staff. I could even say somewhat friendly."
84,google reviews,"Chem. de la Côte-des-Neiges, Montreal",Very friendly and polite staff.
85,google reviews,"Chem. de la Côte-des-Neiges, Montreal","Bad customer service , comparing to other banks , bad experience , account closed never again"
86,google reviews,"Chem. de la Côte-des-Neiges, Montreal",Great staff and amazing service!
87,google reviews,"Chem. de la Côte-des-Neiges, Montreal",Very bad staff and they are so impolite to the students .Not even guide about the things .
88,google reviews,"Chem. de la Côte-des-Neiges, Montreal",Very bad service and the staff are very impolite to the customers there.
89,google reviews,"Chem. de la Côte-des-Neiges, Montreal",there nice and one of the staff is pretty cute 😊😊😊 …
90,google reviews,"Chem. de la Côte-des-Neiges, Montreal",So slow... So Many people in the back office so few in the front ...
91,google reviews,"Chem. de la Côte-des-Neiges, Montreal","Worst branch ever . Too slow, incompetent employees."
92,google reviews,"Chem. de la Côte-des-Neiges, Montreal","Incompetant, uninformed and lazy staff."
93,google reviews,"Chem. de la Côte-des-Neiges, Montreal",Awesome service
94,google reviews,"Chem. de la Côte-des-Neiges, Montreal",Excellent service.
95,google reviews,"Chem. de la Côte-des-Neiges, Montreal",Too slow!
96,google reviews,"Chem. de la Côte-des-Neiges, Montreal","everything is great here,"
97,google reviews,"Chem. de la Côte-des-Neiges, Montreal",Horrible
98,google reviews,"Chem. de la Côte-des-Neiges, Montreal",No parking
99,google reviews,"Chem. de la Côte-des-Neiges, Montreal",Bank Excellent
100,google reviews,"Chem. de la Côte-des-Neiges, Montreal",Unsatisfied
101,google reviews,"Chem. de la Côte-des-Neiges, Montreal",Advisors always absent or unavailable - multiple errors with loss of unreimbursed interest
102,google reviews,"Chem. de la Côte-des-Neiges, Montreal","Great service! A huge THANK YOU to the managers for their patience (we, to our shame, understand and speak English terribly poorly and do not speak French at all)🌹🌹🌹. If I had not left the country, I would ONLY cooperate with THIS BANK. THANK YOU again❤️ …"
103,google reviews,"Chem. de la Côte-des-Neiges, Montreal",Exceptional service with Miss Abi Salloum who was of great service to my friend. Very professional despite recent problems with my account at Scotiabank. Potential to be a future manager!
104,google reviews,"Chem. de la Côte-des-Neiges, Montreal","I have been doing business with this bank for 6 years. But now I'm wondering what's going on. The service is deteriorating exponentially this year 2019. The customer service and the agents at the reception have nothing to say about you. The example that annoys me is the fact that they are unable to update my signature and when you let them know they react like robots programmed to recite a programmed message and your problem is not resolved. 2019 is the worst I have spent with you and rest assured, I will soon leave your bank and those around me are aware of what I am going through."
105,google reviews,"Chem. de la Côte-des-Neiges, Montreal","The only bad experience was when I tried to withdraw money at the counter where I was refused after a certain limit, although the agent on the phone assured me several times that it was possible. Only bad experience was trying to withdraw money at the counter, where I was refused past a certain limit, even though I was assured on the phone I wouldn't have problems."
106,google reviews,"Chem. de la Côte-des-Neiges, Montreal","BRANCH TO AVOID!!!! I opened a savings account there, when I tried to close it because I needed the money they told me I had to pay $100 to close it! I called Scottia customer service and they confirmed that I didn't have to pay anything to close an account with them, so I went to another branch and closed my account without paying ANY fees. In this branch they are thieves!!"
107,google reviews,"Chem. de la Côte-des-Neiges, Montreal",I liked the scene.thank you
108,google reviews,"Chem. de la Côte-des-Neiges, Montreal","I came to close my account that I was no longer using, since apparently Scotiabank charges monthly fees of $3.95 per month on checking accounts even if no transactions have been made on them. I had to pay this fee in cash (no debit or credit card) to settle the negative balance on my account. I take out a $20 bill and the attendant gives me $16.50 before realizing her mistake. During the entire operation, not a single “please” or “thank you”. The least it could do for a bank that charges fees to its customers would be to hire employees who know how to count and who don't take their customers for numbers. I give two stars because there was coffee and tea in the waiting area."
109,google reviews,"Chem. de la Côte-des-Neiges, Montreal",I have a business account with them and they are the most incompetent bank I have ever worked with. I would give 0 stars if it existed.
110,google reviews,"Chem. de la Côte-des-Neiges, Montreal","When I started opening a Tangerine account, that's when I decided to put banknotes in the ATM before closing my account at the National Bank. I admit that it's fun to put banknotes in the ATM."
111,google reviews,"Chem. de la Côte-des-Neiges, Montreal","incompetent branch of the fund up to the ''council''. Sends you back to your original branch to make changes as if the bank is not ""global"". If I move to another city, will I be told to go to MTL?"
112,google reviews,"Chem. de la Côte-des-Neiges, Montreal",Deplorable service. Regular problems with their ATMs!
113,google reviews,"Chem. de la Côte-des-Neiges, Montreal","Normal bank, nice service. Open on Saturday."
114,google reviews,"Chem. de la Côte-des-Neiges, Montreal",I'm just going to make a withdrawal
115,google reviews,"Chem. de la Côte-des-Neiges, Montreal",Worst service
116,google reviews,"Queen Mary Rd, Montreal","I had the pleasure of working with Max Carranza advisor who truly went above and beyond. From the moment I walked into his office, they made me feel incredibly comfortable and at ease. Their advice was not only sound but also customized to my unique financial situation and goals. What stood out the most was their respect and kindness throughout our interactions. They patiently addressed all my questions and concerns, ensuring that I fully understood every aspect of their recommendations. Overall, my experience with this financial advisor was nothing short of wonderful. I wholeheartedly recommend his services to anyone seeking expert financial guidance and a genuinely caring approach to wealth management."
117,google reviews,"Queen Mary Rd, Montreal",Horrible people and banking service. I got a settlement cheque and I went to deposit it. They held 99% of the money and I told them I have bills to pay I need that money. They accused me of trying to money launder and that they need to investigate the money. What in the hell is wrong with you people? Disgusting people.
118,google reviews,"Queen Mary Rd, Montreal",I been a customer there since 1997 . How they behave and treat clients now is completely unacceptable . Rude. Not honest.
119,google reviews,"Queen Mary Rd, Montreal","I would like to express my gratitude to my financial advisor Max Carranza. Inspite of my not excellent English skills, he patiently listened to all my requierements and we quickly found common ground together. His professionalism helped achieve our financial goal. So I highly recommend advisor Max Carranza to anyone who needs to solve their questions swiftly and effortlessly."
120,google reviews,"Queen Mary Rd, Montreal","Fantastic service from Avril McDonald and Maximiliano Carranza. I opened account on Saturday even not having appointment, I was advised about bonus I was not aware about. Maximiliano dedicated his own time between appointments to me. Very much appreciated. Gonna come there again !!!!"
121,google reviews,"Queen Mary Rd, Montreal",Terrible Terrible customer service. Went last Thursday to this unprofessional branch regarding my draft. At least don’t make fun of your customers be respectful to them. You guys should learn something from your previous bad reviews. Never going back to this humiliating staff members branch and will recommend others also to visit another branch of Scotiabank.
122,google reviews,"Queen Mary Rd, Montreal","The queues to get service are long and the staff does not try to serve customers faster. Basic mistakes are made with customers transactions and identities, and meeting schedules with representatives are not respected (customers are made to wait for over 20 minutes after the appointment time to access service). I do not recommend this branch."
123,google reviews,"Queen Mary Rd, Montreal","I just use one the 2 ATMs over there, didn't have any issues withdrawing money. However, the new ATMs are annoying for deposits because they often unnecessarily return your bills so depositing money might take more than 1 try."
124,google reviews,"Queen Mary Rd, Montreal","Very kind and helpful associates and efficient process. They helped us set up our new comer bank account. Having an appointment before you go helps, but walk-ins were accepted based on availability. Very happy to be associated with the bank."
125,google reviews,"Queen Mary Rd, Montreal","I would like to say that don’t waste your time with this branch. If they are unable to help you then they will terminate your account. Really poor service, didn’t have manners to talk with the customer always have to wait to talk with the manager or else supervisor and they are always busy in the mobile phone and with the colleague instead of taking the customers. Manager, Chantal Canlas never trust this lady in any bank related matter. She will never talk in proper way as well she will never listen to you. She is nothing but full of liars. Last suggestion run from this branch."
126,google reviews,"Queen Mary Rd, Montreal","I’ve had issues with this bank and this branch in the past but they’ve been terrific during the the last 12 months when I’ve had banking headaches that my regular bank and financial manager couldn’t/wouldn’t handle. Special thanks to the manager, to Ana, and to the tall, young teller who helped me with a technical issue that Scotia tech support couldn’t seem to understand."
127,google reviews,"Queen Mary Rd, Montreal","""To whom it may concern: I would like to complain about certain actions of one of your cashiers. I went to make a payment for my American visa because I couldn't do it online, I took the form I needed and my cards from other banks to see how I could make the payment. As soon as I arrived, the cashier made the process and asked me for the payment and I gave her my card that did not correspond to Scotiabank, she proceeded to tell me that I cannot make the payment if I do not have money, when I tried to clarify things she interrupted me and told me that she needed money to make the payment (again) and that I needed to have an account with Scotiabank (I have it, it's just that it's new and I had no funds). I was trying to communicate with her and she wouldn't let me speak and express myself in order to find a solution, she didn't want to help me. I asked her if I could withdraw money from the ATM and give it to her in cash and her response was """"well, let's see if with those (foreign) bank accounts you can withdraw the cash”. At the end I was able to withdraw the money from the ATM and make the payment i needed. I recently arrived in Canada, and I chose Scotiabank to be my bank, with these actions I was a little worried about the attention, I would like you Scotiabank, to improve your customer service because there is a lot of misinformation and you are here to help, not to put someone down or treat that way. I hope this letter is useful to you and do something about it. Sincerely, Jorge Jaramillo Sato"""
128,google reviews,"Queen Mary Rd, Montreal",Very rude and terrible customer service. The branch manager was the worst though. He was very low class and disrespectful. I highly recommend taking your business elsewhere!
129,google reviews,"Queen Mary Rd, Montreal",4 computers and only 2 representatives .. u have to wait in a long que
130,google reviews,"Queen Mary Rd, Montreal","""They're always super friendly, very diverse and so far it's the best bank I've been with. They have great customer service, from their tellers to their specialized employees. Always quick and looking to find solutions, having both my business and personal account there. The only downfall is parking if you have a vehicle, although there is parking behind the Metro..."""
131,google reviews,"Queen Mary Rd, Montreal","This branch is so slow it can drive you crazy. I complained so many times but without result. The first think they try is to explain you how they can not help you, finding ridiculous excuses. No client, no problem. This bank has a problem with their employees. They luck of respect and courtesy in general."
132,google reviews,"Queen Mary Rd, Montreal","My mother passed away at the beginning of the year and she had accounts there. On April 21, the request was made to have everything transferred to an estate account. I was told it takes time. Now we're at the end of July and nothing has been done! I even noticed the bank account is still active and some automatic payment has passed. I left a message to Rodrigue who last week, no return so far. I checked on the copy of the transfer form and the phone number for the contact is not even good! Do yourself a favor and avoid that branch, nothing but a bunch of juniors."
133,google reviews,"Queen Mary Rd, Montreal","I took an appointment to open an account two times, and they respected none of them. Each time, I went there just to find out that they have made a mistake in entering my info in their system. I was hoping to talk to a manager the second time (Monday Jan 16, 2017), but he had other priorities and was not available. Finally, I told them that I choose not to open an account there and just left. Very very unprofessional service. I can't believe this is the type of service they offer to someone who wants to give them his money."
134,google reviews,"Queen Mary Rd, Montreal","First time trying Scotia Bank just for the promotion, and visiting this branch is not spectacular compared to my original bank. There are way too small numbers of bankers corresponding with the queues you'll face. Give +1 star because some representatives are very kind."
135,google reviews,"Queen Mary Rd, Montreal","""Really poor place , the lady(don't know her name) she is disgusting, the rules are not same for everyone. Worst place for banking This is my 3rs time visiting the place for same issue, all the time she need different documents even I have the documents which she asked me when I came first time. But the branch manager is great she will start her work from April she is very helpful"""
136,google reviews,"Queen Mary Rd, Montreal",Repulsive branch. They do not allow access to one's own money. They do not follow court orders. The puny 98 lb weakling branch manager accuses me of absurd lies and then gets the bank security goon to assault me. Revolting bank and cowardly and repugnant branch manager. They should be fined.
137,google reviews,"Queen Mary Rd, Montreal","I have used Scotia Bank services since 1 year ago. The staff members in this branch have been very helpful, and the ATMs are very modern. Also, the services that the bank offers are very good -I recommend this bank and branch to students that are new to the banking system-."
138,google reviews,"Queen Mary Rd, Montreal","I never had good experiences with banks in general and Scotiabank is not an exception. Long time waiting to solve a problem, which usually is not solved in the first attempt. Managers who try to sell you things you don't need and open accounts that are not the ideal for you. I'm really disappointed with the bank and the staff in general."
139,google reviews,"Queen Mary Rd, Montreal",There is only 2 parking spaces next to the bank and today they were both occupied by the employees… The clerk was an older lady who was very unprofessIonal
140,google reviews,"Queen Mary Rd, Montreal","""This place is a total rip off . The girl told me , the Draft (DD) will cost you $32 to send . I asked her why , there is a pick up and dropping charge . I went to other bank , they did it for $9.50 . The worst part is my cousin went on the same day to do the DD with this same bank and same location they just charge $9.50 . Please at least maintain some clarity, how much you need to charge for your services."""
141,google reviews,"Queen Mary Rd, Montreal",One of the worst branch ever I visited. I had issue with my banking service from last 3 months but still yet they don;t even tried to sort it out.Just making it more complicated.Hence I moved to aonther branch because they know nothing about how to treat customer in proper way
142,google reviews,"Queen Mary Rd, Montreal","""The ATM machine limit is 50 bills/ transaction, counts slowly and has a high rejection rate. The ATM at the RBC across the street takes 70 bills/ transaction, counts and accepts bills smoothly. The only reason I use Scotia's ATM is because I'm with Tangerine ;)"""
143,google reviews,"Queen Mary Rd, Montreal",the worst place for banking. None of the staff is professional over there and they dont know anything about banking especially the lady manager who think she owns scotia. I was banking with scotia for past two years and closed my account because of this location service. come here if you want to ruin your banking experience.
144,google reviews,"Queen Mary Rd, Montreal","I don't know why there is so much low rating over this bank, the staff is really #friendly and #helpful. I have been using this branch from almost 1 year."
145,google reviews,"Queen Mary Rd, Montreal",It’s been more than 10 days my debit card is not working and they couldn’t do anything. Very disappointed as I waited one hour for nothing and they couldn’t fix the problem.
146,google reviews,"Queen Mary Rd, Montreal","The new branch manager, Chantal Canlas is horrible. Incompetent, doesn't know what she is doing and just downright nasty. Worst bank in the city."
147,google reviews,"Queen Mary Rd, Montreal",Needed a basic service 2 times in 2 years and both times they couldn’t provide the service for dumb reasons.
148,google reviews,"Queen Mary Rd, Montreal","Not friendly at all. Super slow service, Most of tellers do not say hi to clients, they even ignore you sometimes. For some reason, they serve clients with attitude...."
149,google reviews,"Queen Mary Rd, Montreal","They are thieves, I’ve been having this issue for more than 2 months and they’ve still haven’t resolved my issue .i asked to change branch but they refused .theyre not even worth one star .The guy even kept my debit card ."
150,google reviews,"Queen Mary Rd, Montreal","While service can generally be slow, you may find some helpful advice from the staff. Not the best client experience at all."
151,google reviews,"Queen Mary Rd, Montreal",Long wait times and twice I could not make a cash withdrawal
152,google reviews,"Queen Mary Rd, Montreal","Horrible experience, masters at passing the buck to other departments IN THE SAME COMPANY!!!! DON'T EVEN BOTHER!!!"
153,google reviews,"Queen Mary Rd, Montreal",Clean branch with staff that will go above and beyond to try and help you so that you bring your money to them instead of somewhere else.
154,google reviews,"Queen Mary Rd, Montreal",Always super friendly and fast. Love visiting this branch
155,google reviews,"Queen Mary Rd, Montreal","Bad customer service, the worker who attended my requirement had a arrogant attitude."
156,google reviews,"Queen Mary Rd, Montreal",The hours here are very awkward... 10am to 4pm isn't convenient for people who work 8am to 5pm. Please change this!
157,google reviews,"Queen Mary Rd, Montreal",Worst bank i ever dealt with.
158,google reviews,"Queen Mary Rd, Montreal",I opened my first account when i reached in Canada
159,google reviews,"Queen Mary Rd, Montreal",I wanna know that on thursday does it remain open until 6pm or not?
160,google reviews,"Queen Mary Rd, Montreal",well there a hobo at the ATM booth when i went to deposit a check
161,google reviews,"Queen Mary Rd, Montreal",Nice employees & manage
162,google reviews,"Queen Mary Rd, Montreal",goos stufff
163,google reviews,"Queen Mary Rd, Montreal",Friendly staff
164,google reviews,"Queen Mary Rd, Montreal","""Their online service to open an account is useless. You will have to go there and we will ask you to have an appointment and we will go through all the points in order to validate them. Don't waste your time. In addition, some people are not cooperative and instead of serving you they will apologize to you."""
165,google reviews,"Queen Mary Rd, Montreal","Very poor management. Even after making an appointment. The end user agent was not there (yi Zhang). I advise everyone reading this review ""do not open an account with this branch"""
166,google reviews,"Queen Mary Rd, Montreal",I'm happy to know that I can withdraw $5 at the ATM.
